cod,nome,uf
310285,ANGELÂNDIA,MG
500085,ANGÉLICA,MS
260100,ANGELIM,PE
420090,ANGELINA,SC
290140,ANGICAL,BA
220060,ANGICAL DO PIAUÍ,PI
170105,ANGICO,TO
240080,ANGICOS,RN
330010,ANGRA DOS REIS,RJ
290150,ANGUERA,BA
410115,ÂNGULO,PR
520120,ANHANGUERA,GO
350230,ANHEMBI,SP
350240,ANHUMAS,SP
520130,ANICUNS,GO
220070,ANÍSIO DE ABREU,PI
420100,ANITA GARIBALDI,SC
420110,ANITÁPOLIS,SC
130010,ANORI,AM
430070,ANTA GORDA,RS
290160,ANTAS,BA
410120,ANTONINA,PR
230080,ANTONINA DO NORTE,CE
220080,ANTÔNIO ALMEIDA,PI
290170,ANTÔNIO CARDOSO,BA
310290,ANTÔNIO CARLOS (MG),MG
420120,ANTÔNIO CARLOS (SC),SC
310300,ANTÔNIO DIAS,MG
290180,ANTÔNIO GONÇALVES,BA
500090,ANTÔNIO JOÃO,MS
240090,ANTÔNIO MARTINS,RN
410130,ANTÔNIO OLINTO,PR
430080,ANTÔNIO PRADO,RS
310310,ANTÔNIO PRADO DE MINAS,MG
250077,APARECIDA (PB),PB
350250,APARECIDA (SP),SP
350260,APARECIDA D'OESTE,SP
520140,APARECIDA DE GOIÂNIA,GO
520145,APARECIDA DO RIO DOCE,GO
170110,APARECIDA DO RIO NEGRO,TO
500100,APARECIDA DO TABOADO,MS
330015,APERIBÉ,RJ
320050,APIACÁ,ES
510080,APIACÁS,MT
350270,APIAÍ,SP
210083,APICUM-AÇU,MA
420125,APIÚNA,SC
240100,APODI,RN
290190,APORÁ,BA
520150,APORÉ,GO
290195,APUAREMA,BA
410140,APUCARANA,PR
130014,APUÍ,AM
230090,APUIARÉS,CE
280020,AQUIDABÃ,SE
500110,AQUIDAUANA,MS
230100,AQUIRAZ,CE
420127,ARABUTÃ,SC
250080,ARAÇAGI,PB
310320,ARAÇAÍ,MG
280030,ARACAJU,SE
350275,ARAÇARIGUAMA,SP
290205,ARAÇÁS,BA
230110,ARACATI,CE
290200,ARACATU,BA
350280,ARAÇATUBA,SP
290210,ARACI,BA
310330,ARACITABA,MG
230120,ARACOIABA,CE
260105,ARAÇOIABA,PE
350290,ARAÇOIABA DA SERRA,SP
320060,ARACRUZ,ES
520160,ARAÇU,GO
310340,ARAÇUAÍ,MG
520170,ARAGARÇAS,GO
520180,ARAGOIÂNIA,GO
170130,ARAGOMINAS,TO
170190,ARAGUACEMA,TO
170200,ARAGUAÇU,TO
510100,ARAGUAIANA,MT
170210,ARAGUAÍNA,TO
510120,ARAGUAINHA,MT
210087,ARAGUANÃ (MA),MA
170215,ARAGUANÃ (TO),TO
520215,ARAGUAPAZ,GO
310350,ARAGUARI,MG
170220,ARAGUATINS,TO
210090,ARAIOSES,MA
500124,ARAL MOREIRA,MS
290220,ARAMARI,BA
430085,ARAMBARÉ,RS
210095,ARAME,MA
350300,ARAMINA,SP
350310,ARANDU,SP
310360,ARANTINA,MG
350315,ARAPEÍ,SP
270030,ARAPIRACA,AL
170230,ARAPOEMA,TO
310370,ARAPONGA,MG
410150,ARAPONGAS,PR
310375,ARAPORÃ,MG
410160,ARAPOTI,PR
310380,ARAPUÁ,MG
410165,ARAPUÃ,PR
510125,ARAPUTANGA,MT
420130,ARAQUARI,SC
250090,ARARA,PB
420140,ARARANGUÁ,SC
350320,ARARAQUARA,SP
350330,ARARAS,SP
230125,ARARENDÁ,CE
210100,ARARI,MA
430087,ARARICÁ,RS
230130,ARARIPE,CE
260110,ARARIPINA,PE
330020,ARARUAMA,RJ
250100,ARARUNA (PB),PB
410170,ARARUNA (PR),PR
290225,ARATACA,BA
430090,ARATIBA,RS
230140,ARATUBA,CE
290230,ARATUÍPE,BA
280040,ARAUÁ,SE
410180,ARAUCÁRIA,PR
310390,ARAÚJOS,MG
310400,ARAXÁ,MG
310410,ARCEBURGO,MG
350335,ARCO-ÍRIS,SP
310420,ARCOS,MG
260120,ARCOVERDE,PE
310430,AREADO,MG
330022,AREAL,RJ
350340,AREALVA,SP
250110,AREIA,PB
240110,AREIA BRANCA (RN),RN
280050,AREIA BRANCA (SE),SE
250115,AREIA DE BARAÚNAS,PB
250120,AREIAL,PB
350350,AREIAS,SP
350360,AREIÓPOLIS,SP
510130,ARENÁPOLIS,MT
520235,ARENÓPOLIS,GO
240120,ARÊS,RN
310440,ARGIRITA,MG
310445,ARICANDUVA,MG
310450,ARINOS,MG
510140,ARIPUANÃ,MT
110002,ARIQUEMES,RO
350370,ARIRANHA,SP
410185,ARIRANHA DO IVAÍ,PR
330023,ARMAÇÃO DOS BÚZIOS,RJ
420150,ARMAZÉM,SC
230150,ARNEIROZ,CE
220090,AROAZES,PI
250130,AROEIRAS,PB
220095,AROEIRAS DO ITAIM,PI
220100,ARRAIAL,PI
330025,ARRAIAL DO CABO,RJ
170240,ARRAIAS,TO
430100,ARROIO DO MEIO,RS
430107,ARROIO DO PADRE,RS
430105,ARROIO DO SAL,RS
430120,ARROIO DO TIGRE,RS
430110,ARROIO DOS RATOS,RS
430130,ARROIO GRANDE,RS
420160,ARROIO TRINTA,SC
350380,ARTUR NOGUEIRA,SP
520250,ARUANÃ,GO
350390,ARUJÁ,SP
420165,ARVOREDO,SC
430140,ARVOREZINHA,RS
420170,ASCURRA,SC
350395,ASPÁSIA,SP
410190,ASSAÍ,PR
230160,ASSARÉ,CE
350400,ASSIS,SP
120005,ASSIS BRASIL,AC
410200,ASSIS CHATEAUBRIAND,PR
250135,ASSUNÇÃO,PB
220105,ASSUNÇÃO DO PIAUÍ,PI
310460,ASTOLFO DUTRA,MG
410210,ASTORGA,PR
270040,ATALAIA (AL),AL
410220,ATALAIA (PR),PR
130020,ATALAIA DO NORTE,AM
420180,ATALANTA,SC
310470,ATALÉIA,MG
350410,ATIBAIA,SP
320070,ATÍLIO VIVACQUA,ES
170255,AUGUSTINÓPOLIS,TO
150090,AUGUSTO CORRÊA,PA
310480,AUGUSTO DE LIMA,MG
430150,AUGUSTO PESTANA,RS
240130,AUGUSTO SEVERO,RN
430155,ÁUREA,RS
290240,AURELINO LEAL,BA
350420,AURIFLAMA,SP
520260,AURILÂNDIA,GO
230170,AURORA (CE),CE
420190,AURORA (SC),SC
150095,AURORA DO PARÁ,PA
170270,AURORA DO TOCANTINS,TO
130030,AUTAZES,AM
350430,AVAÍ,SP
350440,AVANHANDAVA,SP
350450,AVARÉ,SP
150100,AVEIRO,PA
220110,AVELINO LOPES,PI
520280,AVELINÓPOLIS,GO
210110,AXIXÁ,MA
170290,AXIXÁ DO TOCANTINS,TO
170300,BABAÇULÂNDIA,TO
210120,BACABAL,MA
210125,BACABEIRA,MA
210130,BACURI,MA
210135,BACURITUBA,MA
350460,BADY BASSITT,SP
310490,BAEPENDI,MG
430160,BAGÉ,RS
150110,BAGRE,PA
250140,BAÍA DA TRAIÇÃO,PB
240140,BAÍA FORMOSA,RN
290250,BAIANÓPOLIS,BA
150120,BAIÃO,PA
290260,BAIXA GRANDE,BA
220115,BAIXA GRANDE DO RIBEIRO,PI
230180,BAIXIO,CE
320080,BAIXO GUANDU,ES
350470,BALBINOS,SP
310500,BALDIM,MG
520310,BALIZA,GO
420195,BALNEÁRIO ARROIO DO SILVA,SC
420205,BALNEÁRIO BARRA DO SUL,SC
420200,BALNEÁRIO CAMBORIÚ,SC
420207,BALNEÁRIO GAIVOTA,SC
421280,BALNEÁRIO PIÇARRAS,SC
430163,BALNEÁRIO PINHAL,RS
422000,BALNEÁRIO RINCÃO,SC
410230,BALSA NOVA,PR
350480,BÁLSAMO,SP
210140,BALSAS,MA
310510,BAMBUÍ,MG
230185,BANABUIÚ,CE
350490,BANANAL,SP
250150,BANANEIRAS,PB
310520,BANDEIRA,MG
310530,BANDEIRA DO SUL,MG
420208,BANDEIRANTE,SC
500150,BANDEIRANTES (MS),MS
410240,BANDEIRANTES (PR),PR
170305,BANDEIRANTES DO TOCANTINS,TO
150125,BANNACH,PA
290265,BANZAÊ,BA
430165,BARÃO,RS
350500,BARÃO DE ANTONINA,SP
310540,BARÃO DE COCAIS,MG
430170,BARÃO DE COTEGIPE,RS
210150,BARÃO DE GRAJAÚ,MA
510160,BARÃO DE MELGAÇO,MT
310550,BARÃO DE MONTE ALTO,MG
430175,BARÃO DO TRIUNFO,RS
250153,BARAÚNA (PB),PB
240145,BARAÚNA (RN),RN
310560,BARBACENA,MG
230190,BARBALHA,CE
350510,BARBOSA,SP
410250,BARBOSA FERRAZ,PR
150130,BARCARENA,PA
240150,BARCELONA,RN
130040,BARCELOS,AM
350520,BARIRI,SP
290270,BARRA,BA
420209,BARRA BONITA (SC),SC
350530,BARRA BONITA (SP),SP
220117,BARRA D'ALCÂNTARA,PI
290280,BARRA DA ESTIVA,BA
260130,BARRA DE GUABIRABA,PE
250160,BARRA DE SANTA ROSA,PB
250157,BARRA DE SANTANA,PB
270050,BARRA DE SANTO ANTÔNIO,AL
320090,BARRA DE SÃO FRANCISCO,ES
270060,BARRA DE SÃO MIGUEL (AL),AL
250170,BARRA DE SÃO MIGUEL (PB),PB
510170,BARRA DO BUGRES,MT
350535,BARRA DO CHAPÉU,SP
290290,BARRA DO CHOÇA,BA
210160,BARRA DO CORDA,MA
510180,BARRA DO GARÇAS,MT
430185,BARRA DO GUARITA,RS
410270,BARRA DO JACARÉ,PR
290300,BARRA DO MENDES,BA
170307,BARRA DO OURO,TO
330030,BARRA DO PIRAÍ,RJ
430187,BARRA DO QUARAÍ,RS
430190,BARRA DO RIBEIRO,RS
430192,BARRA DO RIO AZUL,RS
290310,BARRA DO ROCHA,BA
350540,BARRA DO TURVO,SP
280060,BARRA DOS COQUEIROS,SE
430195,BARRA FUNDA,RS
310570,BARRA LONGA,MG
330040,BARRA MANSA,RJ
420210,BARRA VELHA,SC
410260,BARRACÃO (PR),PR
430180,BARRACÃO (RS),RS
220120,BARRAS,PI
230195,BARREIRA,CE
290320,BARREIRAS,BA
220130,BARREIRAS DO PIAUÍ,PI
130050,BARREIRINHA,AM
210170,BARREIRINHAS,MA
260140,BARREIROS,PE
350550,BARRETOS,SP
350560,BARRINHA,SP
230200,BARRO,CE
290323,BARRO ALTO (BA),BA
520320,BARRO ALTO (GO),GO
220140,BARRO DURO,PI
290330,BARRO PRETO,BA
290327,BARROCAS,BA
170310,BARROLÂNDIA,TO
230205,BARROQUINHA,CE
430200,BARROS CASSAL,RS
310590,BARROSO,MG
350570,BARUERI,SP
350580,BASTOS,SP
500190,BATAGUASSU,MS
270070,BATALHA (AL),AL
220150,BATALHA (PI),PI
350590,BATATAIS,SP
500200,BATAYPORÃ,MS
230210,BATURITÉ,CE
350600,BAURU,SP
250180,BAYEUX,PB
350610,BEBEDOURO,SP
230220,BEBERIBE,CE
230230,BELA CRUZ,CE
500210,BELA VISTA,MS
410275,BELA VISTA DA CAROBA,PR
520330,BELA VISTA DE GOIÁS,GO
310600,BELA VISTA DE MINAS,MG
210177,BELA VISTA DO MARANHÃO,MA
410280,BELA VISTA DO PARAÍSO,PR
220155,BELA VISTA DO PIAUÍ,PI
420213,BELA VISTA DO TOLDO,SC
210173,BELÁGUA,MA
270080,BELÉM (AL),AL
150140,BELÉM (PA),PA
250190,BELÉM (PB),PB
260150,BELÉM DE MARIA,PE
250200,BELÉM DO BREJO DO CRUZ,PB
220157,BELÉM DO PIAUÍ,PI
260160,BELÉM DO SÃO FRANCISCO,PE
330045,BELFORD ROXO,RJ
310610,BELMIRO BRAGA,MG
290340,BELMONTE (BA),BA
420215,BELMONTE (SC),SC
290350,BELO CAMPO,BA
310620,BELO HORIZONTE,MG
260170,BELO JARDIM,PE
270090,BELO MONTE,AL
310630,BELO ORIENTE,MG
310640,BELO VALE,MG
150145,BELTERRA,PA
220160,BENEDITINOS,PI
210180,BENEDITO LEITE,MA
420220,BENEDITO NOVO,SC
150150,BENEVIDES,PA
130060,BENJAMIN CONSTANT,AM
430205,BENJAMIN CONSTANT DO SUL,RS
350620,BENTO DE ABREU,SP
240160,BENTO FERNANDES,RN
430210,BENTO GONÇALVES,RS
210190,BEQUIMÃO,MA
310650,BERILO,MG
310665,BERIZAL,MG
250205,BERNARDINO BATISTA,PB
350630,BERNARDINO DE CAMPOS,SP
210193,BERNARDO DO MEARIM,MA
170320,BERNARDO SAYÃO,TO
350635,BERTIOGA,SP
220170,BERTOLÍNIA,PI
310660,BERTÓPOLIS,MG
130063,BERURI,AM
260180,BETÂNIA,PE
220173,BETÂNIA DO PIAUÍ,PI
310670,BETIM,MG
260190,BEZERROS,PE
310680,BIAS FORTES,MG
310690,BICAS,MG
420230,BIGUAÇU,SC
350640,BILAC,SP
310700,BIQUINHAS,MG
350650,BIRIGUI,SP
350660,BIRITIBA MIRIM,SP
290360,BIRITINGA,BA
410290,BITURUNA,PR
420240,BLUMENAU,SC
320100,BOA ESPERANÇA (ES),ES
310710,BOA ESPERANÇA (MG),MG
410300,BOA ESPERANÇA (PR),PR
410302,BOA ESPERANÇA DO IGUAÇU,PR
350670,BOA ESPERANÇA DO SUL,SP
220177,BOA HORA,PI
290370,BOA NOVA,BA
250210,BOA VENTURA,PB
410304,BOA VENTURA DE SÃO ROQUE,PR
230240,BOA VIAGEM,CE
250215,BOA VISTA (PB),PB
140010,BOA VISTA (RR),RR
410305,BOA VISTA DA APARECIDA,PR
430215,BOA VISTA DAS MISSÕES,RS
430220,BOA VISTA DO BURICÁ,RS
430222,BOA VISTA DO CADEADO,RS
210197,BOA VISTA DO GURUPI,MA
430223,BOA VISTA DO INCRA,RS
130068,BOA VISTA DO RAMOS,AM
430225,BOA VISTA DO SUL,RS
290380,BOA VISTA DO TUPIM,BA
270100,BOCA DA MATA,AL
130070,BOCA DO ACRE,AM
220180,BOCAINA (PI),PI
350680,BOCAINA (SP),SP
310720,BOCAINA DE MINAS,MG
420243,BOCAINA DO SUL,SC
310730,BOCAIÚVA,MG
410310,BOCAIÚVA DO SUL,PR
240165,BODÓ,RN
260200,BODOCÓ,PE
500215,BODOQUENA,MS
350690,BOFETE,SP
350700,BOITUVA,SP
260210,BOM CONSELHO,PE
310740,BOM DESPACHO,MG
210200,BOM JARDIM (MA),MA
260220,BOM JARDIM (PE),PE
330050,BOM JARDIM (RJ),RJ
420250,BOM JARDIM DA SERRA,SC
520340,BOM JARDIM DE GOIÁS,GO
310750,BOM JARDIM DE MINAS,MG
250220,BOM JESUS (PB),PB
220190,BOM JESUS (PI),PI
240170,BOM JESUS (RN),RN
430230,BOM JESUS (RS),RS
420253,BOM JESUS (SC),SC
290390,BOM JESUS DA LAPA,BA
310760,BOM JESUS DA PENHA,MG
290395,BOM JESUS DA SERRA,BA
210203,BOM JESUS DAS SELVAS,MA
520350,BOM JESUS DE GOIÁS,GO
310770,BOM JESUS DO AMPARO,MG
510185,BOM JESUS DO ARAGUAIA,MT
310780,BOM JESUS DO GALHO,MG
330060,BOM JESUS DO ITABAPOANA,RJ
320110,BOM JESUS DO NORTE,ES
420257,BOM JESUS DO OESTE,SC
410315,BOM JESUS DO SUL,PR
150157,BOM JESUS DO TOCANTINS (PA),PA
170330,BOM JESUS DO TOCANTINS (TO),TO
350710,BOM JESUS DOS PERDÕES,SP
210207,BOM LUGAR,MA
430235,BOM PRINCÍPIO,RS
220191,BOM PRINCÍPIO DO PIAUÍ,PI
430237,BOM PROGRESSO,RS
310790,BOM REPOUSO,MG
420260,BOM RETIRO,SC
430240,BOM RETIRO DO SUL,RS
310800,BOM SUCESSO (MG),MG
250230,BOM SUCESSO (PB),PB
410320,BOM SUCESSO (PR),PR
350715,BOM SUCESSO DE ITARARÉ,SP
410322,BOM SUCESSO DO SUL,PR
420245,BOMBINHAS,SC
310810,BONFIM (MG),MG
140015,BONFIM (RR),RR
220192,BONFIM DO PIAUÍ,PI
520355,BONFINÓPOLIS,GO
310820,BONFINÓPOLIS DE MINAS,MG
290400,BONINAL,BA
290405,BONITO (BA),BA
500220,BONITO (MS),MS
150160,BONITO (PA),PA
260230,BONITO (PE),PE
310825,BONITO DE MINAS,MG
250240,BONITO DE SANTA FÉ,PB
520357,BONÓPOLIS,GO
250250,BOQUEIRÃO,PB
430245,BOQUEIRÃO DO LEÃO,RS
220194,BOQUEIRÃO DO PIAUÍ,PI
280067,BOQUIM,SE
290410,BOQUIRA,BA
350720,BORÁ,SP
350730,BORACÉIA,SP
130080,BORBA,AM
250270,BORBOREMA (PB),PB
350740,BORBOREMA (SP),SP
310830,BORDA DA MATA,MG
350745,BOREBI,SP
410330,BORRAZÓPOLIS,PR
430250,BOSSOROCA,RS
310840,BOTELHOS,MG
350750,BOTUCATU,SP
310850,BOTUMIRIM,MG
290420,BOTUPORÃ,BA
420270,BOTUVERÁ,SC
430258,BOZANO,RS
420280,BRAÇO DO NORTE,SC
420285,BRAÇO DO TROMBUDO,SC
430260,BRAGA,RS
150170,BRAGANÇA,PA
350760,BRAGANÇA PAULISTA,SP
410335,BRAGANEY,PR
270110,BRANQUINHA,AL
310870,BRÁS PIRES,MG
150172,BRASIL NOVO,PA
500230,BRASILÂNDIA,MS
310855,BRASILÂNDIA DE MINAS,MG
410337,BRASILÂNDIA DO SUL,PR
170360,BRASILÂNDIA DO TOCANTINS,TO
120010,BRASILÉIA,AC
220196,BRASILEIRA,PI
530010,BRASÍLIA,DF
310860,BRASÍLIA DE MINAS,MG
510190,BRASNORTE,MT
350770,BRAÚNA,SP
310880,BRAÚNAS,MG
520360,BRAZABRANTES,GO
310890,BRAZÓPOLIS,MG
260240,BREJÃO,PE
320115,BREJETUBA,ES
260250,BREJINHO (PE),PE
240180,BREJINHO (RN),RN
170370,BREJINHO DE NAZARÉ,TO
210210,BREJO,MA
350775,BREJO ALEGRE,SP
260260,BREJO DA MADRE DE DEUS,PE
210215,BREJO DE AREIA,MA
250280,BREJO DO CRUZ,PB
220198,BREJO DO PIAUÍ,PI
250290,BREJO DOS SANTOS,PB
280070,BREJO GRANDE,SE
150175,BREJO GRANDE DO ARAGUAIA,PA
230250,BREJO SANTO,CE
290430,BREJÕES,BA
290440,BREJOLÂNDIA,BA
150178,BREU BRANCO,PA
150180,BREVES,PA
520380,BRITÂNIA,GO
430265,BROCHIER,RS
350780,BRODOWSKI,SP
350790,BROTAS,SP
290450,BROTAS DE MACAÚBAS,BA
310900,BRUMADINHO,MG
290460,BRUMADO,BA
420287,BRUNÓPOLIS,SC
420290,BRUSQUE,SC
310910,BUENO BRANDÃO,MG
310920,BUENÓPOLIS,MG
260270,BUENOS AIRES,PE
290470,BUERAREMA,BA
310925,BUGRE,MG
260280,BUÍQUE,PE
120013,BUJARI,AC
150190,BUJARU,PA
350800,BURI,SP
350810,BURITAMA,SP
210220,BURITI,MA
520390,BURITI ALEGRE,GO
210230,BURITI BRAVO,MA
520393,BURITI DE GOIÁS,GO
170380,BURITI DO TOCANTINS,TO
220200,BURITI DOS LOPES,PI
220202,BURITI DOS MONTES,PI
210232,BURITICUPU,MA
520396,BURITINÓPOLIS,GO
290475,BURITIRAMA,BA
210235,BURITIRANA,MA
310930,BURITIS (MG),MG
110045,BURITIS (RO),RO
350820,BURITIZAL,SP
310940,BURITIZEIRO,MG
430270,BUTIÁ,RS
130083,CAAPIRANGA,AM
250300,CAAPORÃ,PB
500240,CAARAPÓ,MS
290480,CAATIBA,BA
250310,CABACEIRAS,PB
290485,CABACEIRAS DO PARAGUAÇU,BA
310945,CABECEIRA GRANDE,MG
520400,CABECEIRAS,GO
220205,CABECEIRAS DO PIAUÍ,PI
250320,CABEDELO,PB
110003,CABIXI,RO
260290,CABO DE SANTO AGOSTINHO,PE
330070,CABO FRIO,RJ
310950,CABO VERDE,MG
350830,CABRÁLIA PAULISTA,SP
350840,CABREÚVA,SP
260300,CABROBÓ,PE
